City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luanda,-8.8368,13.2343,76.77,87,100,7.29,AO,1643591748
1,bichena,10.45,38.2,53.44,47,91,1.83,ET,1643592039
2,porbandar,21.6422,69.6093,66.34,85,0,7.16,IN,1643592039
3,saskylakh,71.9167,114.0833,-23.13,100,94,2.82,RU,1643592040
4,ayr,55.4627,-4.6339,42.78,70,75,36.82,GB,1643592040
5,kitimat,54.0524,-128.6534,36.91,66,100,3.74,CA,1643591771
6,hamilton,39.1834,-84.5333,31.84,71,20,1.01,US,1643592041
7,el reten,10.6114,-74.2682,80.74,73,95,2.35,CO,1643592042
8,kirakira,-10.4544,161.9205,84.0,76,95,5.77,SB,1643592042
9,poplar bluff,36.757,-90.3929,44.62,45,0,0.0,US,1643592043
10,grand gaube,-20.0064,57.6608,79.2,84,74,1.99,MU,1643592032
11,merauke,-8.4667,140.3333,84.11,69,100,7.65,ID,1643592044
12,te anau,-45.4167,167.7167,72.99,59,90,3.91,NZ,1643592044
13,new norfolk,-42.7826,147.0587,83.88,28,0,3.0,AU,1643592045
14,mount gambier,-37.8333,140.7667,71.51,78,40,5.75,AU,1643591800
15,ulaangom,49.9811,92.0667,-26.12,93,95,2.89,MN,1643592046
16,la serena,-29.9078,-71.2542,62.11,88,0,5.75,CL,1643591757
17,tsabong,-26.0217,22.401,68.54,86,97,14.43,BW,1643592046
18,whitehorse,60.7161,-135.0538,7.81,66,100,10.0,CA,1643592047
19,dakar,14.6937,-17.4441,70.68,79,100,21.88,SN,1643591976
20,amapa,1.0,-52.0,71.11,99,100,2.21,BR,1643592048
21,chernyy yar,48.0624,46.1091,29.52,87,100,9.51,RU,1643592049
22,vagamo,61.8751,9.0967,5.45,95,74,1.3,NO,1643592049
23,kerman,30.2832,57.0788,37.26,52,0,4.61,IR,1643592050
24,larsnes,62.2028,5.5773,32.68,78,100,5.21,NO,1643592050
25,bundaberg,-24.85,152.35,90.21,56,75,1.99,AU,1643592051
26,sabang,5.8933,95.3214,80.89,76,95,7.87,ID,1643592051
27,orje,59.4802,11.6602,28.8,58,9,3.24,NO,1643592052
28,cockburn town,21.4612,-71.1419,75.56,73,98,20.24,TC,1643591941
29,yongan,39.6957,113.6871,9.95,65,94,14.72,CN,1643592052
30,ahipara,-35.1667,173.1667,75.83,55,100,14.56,NZ,1643592053
31,nenjiang,49.1833,125.2167,-6.75,94,17,3.11,CN,1643592053
32,kargasok,59.0556,80.8572,5.36,96,98,8.66,RU,1643592054
33,provideniya,64.3833,-173.3,10.51,67,0,20.13,RU,1643592054
34,enshi,30.3,109.4833,38.98,94,97,0.18,CN,1643592055
35,nanortalik,60.1432,-45.2371,19.22,76,100,21.05,GL,1643591912
36,ocotlan,20.35,-102.7667,71.62,36,1,4.36,MX,1643592055
37,mogok,22.9167,96.5,48.9,74,15,2.26,MM,1643592056
38,benguela,-12.5763,13.4055,75.49,82,100,4.0,AO,1643592056
39,puerto escondido,15.85,-97.0667,81.43,65,20,0.0,MX,1643592057
40,damietta,31.4165,31.8133,50.72,59,63,10.92,EG,1643592057
41,terre-de-bas,15.8501,-61.6442,72.91,74,7,12.62,GP,1643591780
42,hazorasp,41.3194,61.0742,22.84,68,100,9.44,UZ,1643592058
43,buraydah,26.326,43.975,54.05,46,100,10.47,SA,1643592059
44,vila franca do campo,37.7167,-25.4333,59.2,81,99,14.54,PT,1643592059
45,puerto del rosario,28.5004,-13.8627,64.08,72,0,16.11,ES,1643592060
46,seydi,39.4816,62.9137,33.49,68,74,9.13,TM,1643592060
47,vagur,61.4732,-6.8119,36.12,61,100,37.22,FO,1643592061
48,kolpashevo,58.3131,82.9089,0.81,98,59,6.76,RU,1643592077
49,tahta,26.7693,31.5021,48.38,47,0,6.42,EG,1643592077
50,xinyu,27.8043,114.9334,40.33,83,100,5.1,CN,1643592078
51,arvika,59.6553,12.5852,25.5,62,6,4.29,SE,1643592078
52,awbari,26.5921,12.7805,44.44,51,0,4.65,LY,1643592079
53,hualmay,-11.0964,-77.6139,70.7,84,100,9.46,PE,1643591928
54,ovsyanka,55.9575,92.5519,-12.78,98,35,4.05,RU,1643592080
55,kamaishi,39.2667,141.8833,29.35,47,83,10.76,JP,1643592080
56,birao,10.2849,22.7882,63.5,19,5,6.33,CF,1643592081
57,dargaville,-35.9333,173.8833,78.21,44,100,14.43,NZ,1643592081
58,beitbridge,-22.2167,30.0,70.93,86,46,20.18,ZW,1643592082
59,baruun-urt,46.6806,113.2792,-7.1,93,11,4.34,MN,1643591868
60,malanje,-9.5402,16.341,63.93,96,100,3.65,AO,1643592082
61,ayagoz,47.9714,80.4392,4.57,100,99,1.5,KZ,1643592083
62,micheweni,-4.9667,39.8333,79.38,77,100,9.82,TZ,1643592084
63,meulaboh,4.1363,96.1285,77.45,84,68,5.46,ID,1643592084
64,morant bay,17.8815,-76.4093,74.82,85,61,9.08,JM,1643592085
65,shizuishan,39.2333,106.7694,13.98,35,7,3.11,CN,1643592085
66,nuuk,64.1835,-51.7216,2.12,75,100,12.66,GL,1643591903
67,dimona,31.0667,35.0333,44.82,70,0,1.95,IL,1643592086
68,borovskoy,53.8,64.15,11.84,97,94,7.63,KZ,1643592087
69,waipawa,-41.4122,175.5153,71.29,64,28,9.35,NZ,1643592087
70,killybegs,54.6333,-8.45,43.45,69,89,27.72,IE,1643592088
71,la ronge,55.1001,-105.2842,12.45,79,100,5.75,CA,1643591922
72,oksbol,55.6268,8.2876,38.82,86,100,13.2,DK,1643592089
73,talnakh,69.4865,88.3972,-15.99,93,83,9.17,RU,1643592089
74,vardo,70.3705,31.1107,30.38,63,92,14.27,NO,1643592090
75,bayanday,53.0661,105.5139,-9.65,99,100,3.04,RU,1643592090
76,olafsvik,64.8945,-23.7142,25.79,54,100,21.09,IS,1643592091
77,tura,25.5198,90.2201,50.92,62,0,3.56,IN,1643592091
78,beringovskiy,63.05,179.3167,-5.67,96,100,10.78,RU,1643592092
79,tessalit,20.1986,1.0114,67.26,15,5,9.95,ML,1643592092
80,henties bay,-22.116,14.2845,66.85,80,93,7.4,NA,1643592093
81,wanaka,-44.7,169.15,76.14,45,100,3.71,NZ,1643592093
82,luderitz,-26.6481,15.1594,64.18,90,66,10.11,NA,1643591895
83,odweyne,9.4092,45.064,59.49,31,45,8.12,SO,1643592094
84,saint anthony,45.0205,-93.218,19.02,73,20,1.01,US,1643592094
85,khani,41.9563,42.9566,31.57,82,100,6.62,GE,1643592095
86,skibbereen,51.55,-9.2667,44.4,74,77,17.34,IE,1643591962
87,lebu,-37.6167,-73.65,57.78,72,1,20.0,CL,1643591896
88,port hardy,50.6996,-127.4199,39.76,87,75,10.36,CA,1643592096
89,praia da vitoria,38.7333,-27.0667,59.25,82,40,21.05,PT,1643592096
90,nome,64.5011,-165.4064,1.17,77,0,0.0,US,1643592097
91,rogovskaya,45.7312,38.7396,37.62,97,100,15.21,RU,1643592097
92,hovd,48.0056,91.6419,-14.85,82,57,2.35,MN,1643591910
93,manapparai,10.6,78.4167,72.46,94,65,2.33,IN,1643592098
94,cabinda,-5.55,12.2,77.9,88,100,2.8,AO,1643592114
95,san quintin,30.4833,-115.95,60.6,62,0,9.95,MX,1643592114
96,peniche,39.3558,-9.3811,56.68,80,3,9.35,PT,1643591970
97,marzuq,14.4,46.4667,58.64,82,93,4.94,YE,1643592115
98,kibaya,-5.3,36.5667,59.02,98,88,1.66,TZ,1643592116
99,hargeysa,9.56,44.065,51.44,89,8,8.95,SO,1643592116
100,emilio carranza,19.9711,-96.6114,67.08,87,31,11.52,MX,1643592117
101,kamenka,51.3223,42.7678,29.75,95,100,17.27,RU,1643592117
102,upata,8.0086,-62.3989,76.19,75,94,4.65,VE,1643592118
103,umm kaddadah,13.6017,26.6876,56.59,18,0,16.89,SD,1643591847
104,yar-sale,66.8333,70.8333,-2.29,94,96,8.23,RU,1643592119
105,takoradi,4.8845,-1.7554,78.04,82,14,3.89,GH,1643592119
106,urusha,54.05,122.9,-3.53,83,94,3.29,RU,1643592120
107,sola,-13.8833,167.55,78.24,84,100,10.11,VU,1643592120
108,otane,-39.8833,176.6333,69.01,42,2,7.36,NZ,1643592121
109,kuandian,40.7286,124.7847,18.36,53,100,2.53,CN,1643592121
110,asau,46.4333,26.4,33.28,71,100,15.12,RO,1643592122
111,darnah,32.767,22.6367,54.75,69,85,22.97,LY,1643592037
112,jammalamadugu,14.8333,78.4,69.08,85,5,4.79,IN,1643592122
113,kladno,50.1473,14.1029,37.38,63,75,12.66,CZ,1643592123
114,parkes,-33.1333,148.1833,85.48,43,29,5.66,AU,1643592123
115,najran,17.4924,44.1277,54.25,31,2,3.24,SA,1643592124
116,karasjok,69.4719,25.5112,1.51,100,8,2.26,NO,1643592124
117,dunedin,-45.8742,170.5036,68.5,68,11,8.97,NZ,1643592125
118,nouadhibou,20.931,-17.0347,64.38,63,100,17.27,MR,1643592125
119,carbonia,39.1672,8.5222,50.0,85,1,9.95,IT,1643592126
120,ormara,25.2088,64.6357,71.78,69,0,14.74,PK,1643592126
121,dhidhdhoo,6.8833,73.1,81.25,76,23,8.95,MV,1643592127
122,dehui,44.5333,125.7,8.91,86,6,1.19,CN,1643592127
123,sundumbili,-29.1337,31.3975,68.31,89,100,4.85,ZA,1643592128
124,mpika,-11.8343,31.4529,59.52,99,100,1.79,ZM,1643592129
125,kholmogory,64.2229,41.656,15.91,96,100,4.07,RU,1643592130
126,mareeba,-17.0,145.4333,91.33,77,96,1.43,AU,1643592130
127,westport,41.1415,-73.3579,24.94,60,0,1.01,US,1643592130
128,tarrafal,15.2833,-23.7667,70.59,76,100,18.23,CV,1643592131
129,amargosa,-13.0303,-39.6047,69.84,98,20,4.23,BR,1643592132
130,sambalpur,21.45,83.9667,55.0,42,0,1.95,IN,1643592132
131,north bend,43.4065,-124.2243,53.24,98,100,17.27,US,1643591903
132,la paz,-16.5,-68.15,49.98,93,75,5.75,BO,1643592093
133,lebedinyy,58.5167,125.5167,-12.46,99,100,2.17,RU,1643592133
134,ola,59.5833,151.2833,7.84,79,100,14.29,RU,1643592134
135,elbistan,38.2059,37.1983,13.23,96,92,2.04,TR,1643592134
